,product_name,product_price,product_availability,date,store,search_term,product_price_dollar
0,CREMA DE LECHE TACHIRA 250 G (UN),Bs. 19.74,True,24/08/2022,Plazas,leche,3.1424614355986433
1,CREMA DE LECHE TACHIRA 500 G (UN),Bs. 35.91,True,24/08/2022,Plazas,leche,5.716605377525192
2,CREMA DE LECHE SANTA MARIA 500G (UN),Bs. 34.68,True,24/08/2022,Plazas,leche,5.520798509957496
3,CREMA DE LECHE PREFERIDA 400G (UN),Bs. 38.06,True,24/08/2022,Plazas,leche,6.058869414330516
4,CREMA DE LECHE LA NATERA 450G (UN),Bs. 34.53,True,24/08/2022,Plazas,leche,5.496919623668752
5,LECHE COND BELLA HOLAND ORIG VEGET 397G (UN),Bs. 14.76,True,24/08/2022,Plazas,leche,2.3496824108123597
6,LECHE POLVO DESCREMAD CAMPESTRE SOB 900G (UN),Bs. 98.34,True,24/08/2022,Plazas,leche,15.654997850900235
7,LECHE POLVO CAMPESTRE EXTRA CALCIO 1KG (UN),Bs. 75.49,True,24/08/2022,Plazas,leche,12.017447506248308
8,LECHE SEMIDESCREMADA CAMPESTRE 450 GR,$ 6.33,True,24/08/2022,Gama,leche,6.33
9,LECHE CONDENSADA KALDINI 380 GR,$ 2.38,True,24/08/2022,Gama,leche,2.38
10,LECHE COMPLETA MILEX 1 LT,$ 2.07,True,24/08/2022,Gama,leche,2.07
11,CEREAL FLIPS DULCE DE LECHE 220 GR,$ 3.05,True,24/08/2022,Gama,leche,3.05
12,LECHE DESCREMADA UHT MI VACA 1 LT,$ 2.01,True,24/08/2022,Gama,leche,2.01
13,LECHE DESCREMADA UHT LA PASTOREÑA 1 LT,$ 1.85,True,24/08/2022,Gama,leche,1.85
14,LECHE COMPLETA UHT LA PASTOREÑA 1 LT,$ 2.07,True,24/08/2022,Gama,leche,2.07
15,CREMA DE LECHE SANTA MARÍA 250 GR,$ 3.40,True,24/08/2022,Gama,leche,3.4
16,CEREAL FLIPS DULCE DE LECHE 120 GR,$ 1.84,True,24/08/2022,Gama,leche,1.84
17,CHOCOLATE DE LECHE SAVOY 70 GR,$ 1.95,True,24/08/2022,Gama,leche,1.95
18,LECHE DESCREMADA POLVO CAMPESTRE 900 GR,$ 15.77,True,24/08/2022,Gama,leche,15.77
19,CHOCOLATE DE LECHE SAVOY 130 GR,$ 3.45,True,24/08/2022,Gama,leche,3.45
20,CREMA DE LECHE PAISA 500 GR,$ 5.72,True,24/08/2022,Gama,leche,5.72
21,LECHE COMPLETA EXTRA CALCIO CAMPESTRE 1 KG,$ 12.40,True,24/08/2022,Gama,leche,12.4
22,LECHE DESCREMADA UHT PURÍSIMA 1 LT,$ 1.94,True,24/08/2022,Gama,leche,1.94
23,CEREAL CON DULCE LECHE FLIPS 6 UN,$ 3.05,True,24/08/2022,Gama,leche,3.05
24,LECHE COMPLETA UHT PURISIMA 1 LT,$ 2.04,True,24/08/2022,Gama,leche,2.04
25,LECHE DESCREMADA DESLACTOSADA UHT PURISIMA 1 L,$ 2.12,True,24/08/2022,Gama,leche,2.12
26,LECHE CONDENSADA CAMPONESA EMBARE 395 GR,$ 2.24,True,24/08/2022,Gama,leche,2.24
27,LECHE SEMIDESCREMADA UHT BOLSA CAMPESTRE 1 LT,$ 1.59,True,24/08/2022,Gama,leche,1.59
28,LECHE CONDENSADA SLIM NESTLE 395 GR,$ 2.75,True,24/08/2022,Gama,leche,2.75
29,LECHE ENTERA ESTERILIZADA UHT CARABOBO 1 LT,$ 2.17,True,24/08/2022,Gama,leche,2.17
30,LECHE CONDENSADA AZUCARADA WEPA 395 GR,$ 2.71,True,24/08/2022,Gama,leche,2.71
31,CREMA DE LECHE NESTLE 300 GR,$ 2.74,True,24/08/2022,Gama,leche,2.74
32,LECHE ENTERA UHT CAMPESTRE BOLSA 1 LT,$ 1.56,True,24/08/2022,Gama,leche,1.56
33,LECHE COMPLETA POLVO ZULI MILK 500 GR,$ 7.73,True,24/08/2022,Gama,leche,7.73
34,LECHE DESCREMADA UHT PARMALAT 1 LT,$ 2.69,True,24/08/2022,Gama,leche,2.69
35,CREMA DE LECHE PARMALAT 200 ML,$ 1.64,True,24/08/2022,Gama,leche,1.64
36,LECHE CONDENSADA AZUCARADA PARMALAT 395 GR,$ 2.92,True,24/08/2022,Gama,leche,2.92
37,LECHE EN POLVO FORTICRECE NIDO 800 GR,$ 11.74,True,24/08/2022,Gama,leche,11.74
38,LECHE DESCREMADA UHT BOLSA CAMPESTRE 1 LT,$ 1.61,True,24/08/2022,Gama,leche,1.61
39,LECHE DESLACTOSADA SEMIDESCREMADA UHT ZYMIL 946 ML,$ 1.95,True,24/08/2022,Gama,leche,1.95
40,LECHE COMPLETA BOLSA UPACA 900 GR,$ 9.59,True,24/08/2022,Gama,leche,9.59
41,CREMA DE LECHE DAIRY SKY 170 GR,$ 2.46,True,24/08/2022,Gama,leche,2.46
42,LECHE EVAPORADA RED & WHITE 354 GR,$ 2.44,True,24/08/2022,Gama,leche,2.44
43,CHOCOLATE DE LECHE ST. MORITZ BARRA 500 GR,$ 8.00,True,24/08/2022,Gama,leche,8.0
44,CHOCOLATE DE LECHE SIN AZÚCAR ST MORITZ 100 GR,$ 2.67,True,24/08/2022,Gama,leche,2.67
45,CHOCOLATE DE LECHE SAVOY 12 UN X 30 GR,$ 11.14,True,24/08/2022,Gama,leche,11.14
46,GALLETA DE MANTEQUILLA CON LECHE RENATA133 GR,$ 0.52,True,24/08/2022,Gama,leche,0.52
47,LECHE SEMI DESCREMADA EN POLVO CAMPESTRE 900 GR,$ 11.83,True,24/08/2022,Gama,leche,11.83
48,LECHE EN POLVO SEMI DESCREMADA LA CAMPIÑA 900 GR,$ 10.50,True,24/08/2022,Gama,leche,10.5
49,LECHE COMPLETA EN BOLSA LA CAMPIÑA 900 GR,$ 10.62,True,24/08/2022,Gama,leche,10.62
50,LECHE DESCREMADA DESLACTOSADA UHT LA PASTOREÑA 1 LT,$ 2.09,True,24/08/2022,Gama,leche,2.09
51,JABON MULTICARE MIEL CON LECHE DALAN 75 GR,$ 0.60,True,24/08/2022,Gama,leche,0.6
52,LECHE EN  POLVO COMPLETA LA CAMPIÑA 500 GR,$ 6.56,True,24/08/2022,Gama,leche,6.56
53,LECHE DESCREMADA LIGHT UHT SAN SIMON 1 LT,$ 1.93,True,24/08/2022,Gama,leche,1.93
54,"CHOCOLATE DE LECHE M&M's 47,9 GR",$ 1.58,True,24/08/2022,Gama,leche,1.58
55,LECHE DE ALMENDRAS SIN AZUCAR KIRKLAND 946 ML,$ 3.63,True,24/08/2022,Gama,leche,3.63
56,LECHE EN POLVO SEMIDESCREMADA SAN SIMON 400 GR,$ 5.23,True,24/08/2022,Gama,leche,5.23
57,JABON EN BARRA CON LECHE DE COCO DOVE 90 GR,$ 1.13,True,24/08/2022,Gama,leche,1.13
58,LECHE EN POLVO CON HIERRO LA CAMPESINA 800 GR,$ 10.40,True,24/08/2022,Gama,leche,10.4
59,LECHE COMPLETA EN BOLSA LA CAMPESTRE 900 GR,$ 10.53,True,24/08/2022,Gama,leche,10.53
60,LECHE EN POLVO BOLSA HOLLAND HORIZON 900 GR,$ 11.71,True,24/08/2022,Gama,leche,11.71
61,LECHE EN POLVO DESCREMADA DAIRY SKY 400 GR,$ 4.93,True,24/08/2022,Gama,leche,4.93
62,LECHE DE ALMENDRAS SIN AZÚCAR VILAY 1 LT,$ 4.84,True,24/08/2022,Gama,leche,4.84
63,LECHE DE ALMENDRAS SABOR CHOCOLATE VILAY 1 LT,$ 5.45,True,24/08/2022,Gama,leche,5.45
64,LECHE DE ALMENDRAS SABOR VAINILLA VILAY 1 LT,$ 5.45,True,24/08/2022,Gama,leche,5.45
65,LECHE DE COCO SIN AZÚCAR VILAY 1 LT,$ 5.45,True,24/08/2022,Gama,leche,5.45
66,DONUTS CUBIERTAS CON CHOCOLATE LECHE COSTA 100 GR,$ 1.95,True,24/08/2022,Gama,leche,1.95
67,LECHE DE SOYA EN POLVO SOYA KLIM 500 GR,$ 7.26,True,24/08/2022,Gama,leche,7.26
68,LECHE CONDENSADA AZUCARADA NATULAC 397 GR,$ 2.03,False,24/08/2022,Gama,leche,2.03
69,CREMA DE LECHE SANTA MARÍA 500 GR,$ 5.70,False,24/08/2022,Gama,leche,5.7
70,CREMA DE LECHE PAISA 250 GR,$ 3.14,False,24/08/2022,Gama,leche,3.14
71,CHOCOLATE CON LECHE ANIVERSARIO SAVOY 100 GR,$ 2.61,False,24/08/2022,Gama,leche,2.61
72,LECHE EN POLVO SEMIDESCREMADA SVELTY 400 GR,$ 6.25,False,24/08/2022,Gama,leche,6.25
73,LECHE CONDENSADA AZUCARADA UHT NATULAC 340 GR,$ 1.83,False,24/08/2022,Gama,leche,1.83
74,LECHE COMPLETA UHT SAN SIMON 1 LT,$ 1.88,False,24/08/2022,Gama,leche,1.88
75,LECHE EVAPORADA DI FIORE 400 GR,$ 1.69,False,24/08/2022,Gama,leche,1.69
76,CREMA DE LECHE NESTLE 1 KG,$ 8.02,False,24/08/2022,Gama,leche,8.02
77,LECHE COMPLETA POLVO ZULI MILK 900 GR,$ 12.14,False,24/08/2022,Gama,leche,12.14
78,FRUTOS MIXTOS CUBIERTOS CON CHOCOLATE DE LECHE SIN AZÚCAR ST MORITZ 40 GR,$ 1.00,True,24/08/2022,Gama,leche,1.0
79,CHOCOLATE CON LECHE CON AZUCAR 34% CACAO EL REY 80 GR,$ 4.19,True,24/08/2022,Gama,leche,4.19
80,CHOCOLATE CON LECHE SIN AZUCAR 34% CACAO EL REY 80 GR,$ 4.28,True,24/08/2022,Gama,leche,4.28
81,MANI CUBIERTO CON CHOCOLATE DE LECHE ST MORITZ 40 GR,$ 0.74,False,24/08/2022,Gama,leche,0.74
82,CREMA DE LECHE DE COCINA HOPLA 1 LT,$ 6.59,False,24/08/2022,Gama,leche,6.59
83,LECHE EN POLVO COMPLETA INSTANTANEA MILEX 800 GR,$ 9.39,False,24/08/2022,Gama,leche,9.39
84,BARRAS DE AVENA CON DULCE DE LECHE GOLDEN BAR AVELINA 6 UN 132 GR,$ 3.03,False,24/08/2022,Gama,leche,3.03
85,Leche DairySky Descremada Paquete 400Gr,$ 4.71,True,24/08/2022,Central Madeirense,leche,4.71
86,Leche Vacalac Descremada Paquete 400Gr,$ 4.91,True,24/08/2022,Central Madeirense,leche,4.91
87,Leche Dairy Sky Condensada Descremada 397Gr,$ 1.75,True,24/08/2022,Central Madeirense,leche,1.75
88,Leche Wepa Evaporada 400Gr,$ 3.02,True,24/08/2022,Central Madeirense,leche,3.02
89,Leche Cemil Condensada 198Gr,$ 1.43,True,24/08/2022,Central Madeirense,leche,1.43
90,Leche San Simon Completa En Polvo 400Gr,$ 5.22,True,24/08/2022,Central Madeirense,leche,5.22
91,Leche Cemil Condensada Integral 395Gr,$ 2.55,True,24/08/2022,Central Madeirense,leche,2.55
92,Leche Los Andes Entera 900Ml,$ 2.26,True,24/08/2022,Central Madeirense,leche,2.26
93,Leche Holland Horizon En Polvo Bolsa 900Gr,$ 10.61,True,24/08/2022,Central Madeirense,leche,10.61
94,Leche Condensada Wepa Condylac Azucarada 395g,$ 1.94,True,24/08/2022,Central Madeirense,leche,1.94
95,Leche DairySky Descremada Paquete 400Gr,$ 4.71,True,24/08/2022,Central Madeirense,leche,4.71
96,Leche Vacalac Descremada Paquete 400Gr,$ 4.91,True,24/08/2022,Central Madeirense,leche,4.91
97,Leche Dairy Sky Condensada Descremada 397Gr,$ 1.75,True,24/08/2022,Central Madeirense,leche,1.75
98,Leche Wepa Evaporada 400Gr,$ 3.02,True,24/08/2022,Central Madeirense,leche,3.02
99,Leche Cemil Condensada 198Gr,$ 1.43,True,24/08/2022,Central Madeirense,leche,1.43
100,Leche San Simon Completa En Polvo 400Gr,$ 5.22,True,24/08/2022,Central Madeirense,leche,5.22
101,Leche Cemil Condensada Integral 395Gr,$ 2.55,True,24/08/2022,Central Madeirense,leche,2.55
102,Leche Los Andes Entera 900Ml,$ 2.26,True,24/08/2022,Central Madeirense,leche,2.26
103,Leche Holland Horizon En Polvo Bolsa 900Gr,$ 10.61,True,24/08/2022,Central Madeirense,leche,10.61
104,Leche Condensada Wepa Condylac Azucarada 395g,$ 1.94,True,24/08/2022,Central Madeirense,leche,1.94
105,Leche San Simon Completa En Polvo 900Gr,$ 10.58,True,24/08/2022,Central Madeirense,leche,10.58
106,Leche Condensada Wepa Original Azucar.L/G 395g,$ 2.63,True,24/08/2022,Central Madeirense,leche,2.63
107,Leche Los Andes Entera 1.8Lt,$ 4.14,True,24/08/2022,Central Madeirense,leche,4.14
108,Leche Vilay AlmendraChoc.1L,$ 4.50,True,24/08/2022,Central Madeirense,leche,4.5
109,Leche Natulac Condensada 397Gr,$ 2.20,True,24/08/2022,Central Madeirense,leche,2.2
110,Leche Upaca Completa Paquete 900Gr,$ 8.99,True,24/08/2022,Central Madeirense,leche,8.99
111,Leche Purisima Desc. Deslactosada UHT 1Lt,$ 2.19,True,24/08/2022,Central Madeirense,leche,2.19
112,Leche San Simon Completa EsterilizadaUHT 1L,$ 1.89,True,24/08/2022,Central Madeirense,leche,1.89
113,Leche Kirkland De Soya Vainilla 946Ml,$ 3.71,True,24/08/2022,Central Madeirense,leche,3.71
114,Leche La Pastoreña Descr.Deslactosada UHT 1Lt,$ 1.91,True,24/08/2022,Central Madeirense,leche,1.91
115,Leche La Campiña Completa Paquete 500Gr,$ 6.40,True,24/08/2022,Central Madeirense,leche,6.4
116,Leche Kirkaland D/Almendra Or.Vainilla 946Ml,$ 4.19,True,24/08/2022,Central Madeirense,leche,4.19
117,Leche Purisima Descremada UHT 1Lt,$ 1.99,True,24/08/2022,Central Madeirense,leche,1.99
118,Leche Purisima Completa UHT 1Lt,$ 2.10,True,24/08/2022,Central Madeirense,leche,2.1
119,Leche Canprolac Forticrece Sachet Paq.800Gr,$ 11.89,True,24/08/2022,Central Madeirense,leche,11.89
120,Leche La Pastoreña Descremada UHT 1Lt,$ 1.82,True,24/08/2022,Central Madeirense,leche,1.82
121,Leche La Pastoreña Completa UHT 1Lt,$ 1.91,True,24/08/2022,Central Madeirense,leche,1.91
122,Leche Kirkaland D/Almendras Or.S/Azucar 960Ml,$ 3.40,True,24/08/2022,Central Madeirense,leche,3.4
123,Leche Parmalat Completa Pasteurizada 1.8Lt,$ 5.97,True,24/08/2022,Central Madeirense,leche,5.97
124,Leche San Simon Descremada EsterilizadUHT1L,$ 1.89,True,24/08/2022,Central Madeirense,leche,1.89
125,Leche La Campiña Completa Paquete 900Gr,$ 10.40,True,24/08/2022,Central Madeirense,leche,10.4
126,Leche Svelty Semidescremada Paquete 400Gr,$ 6.55,True,24/08/2022,Central Madeirense,leche,6.55
127,Crema De Leche Natisima Criolla 250Gr,$ 2.58,True,24/08/2022,Central Madeirense,leche,2.58
128,Chicha San Simon Con Leche UHT 1L,$ 2.85,True,24/08/2022,Central Madeirense,leche,2.85
129,Crema Dairy Sky De Leche 170Gr,$ 1.70,True,24/08/2022,Central Madeirense,leche,1.7
130,Galleta Noel Tipo Leche 21×15.3Gr,$ 2.54,True,24/08/2022,Central Madeirense,leche,2.54
131,Jabon Dove Leche De Coco 90Gr,$ 1.13,True,24/08/2022,Central Madeirense,leche,1.13
132,Crema De Leche Purisima 500Gr,$ 6.19,True,24/08/2022,Central Madeirense,leche,6.19
133,Crema De Leche Purisima 250Gr,$ 3.65,True,24/08/2022,Central Madeirense,leche,3.65
134,Chocolate Savoy Leche 70Gr,$ 1.79,True,24/08/2022,Central Madeirense,leche,1.79
135,Cereal Flips Dulce Leche 220Gr,$ 2.83,True,24/08/2022,Central Madeirense,leche,2.83
136,Cereal Flips Dulce Leche 120Gr,$ 1.70,True,24/08/2022,Central Madeirense,leche,1.7
137,Crema De Leche Hopla Azucarado 1000ml,$ 5.30,True,24/08/2022,Central Madeirense,leche,5.3
138,Crema Nestle De Leche 300Gr,$ 2.79,True,24/08/2022,Central Madeirense,leche,2.79
139,Crema De leche Tachira Pasteurizada 500Gr,$ 5.50,True,24/08/2022,Central Madeirense,leche,5.5
140,Chocolate Savoy Leche 30Gr,$ 0.88,True,24/08/2022,Central Madeirense,leche,0.88
141,Chocolate Nestle KitKat Finger Leche 41.5Gr,$ 0.96,True,24/08/2022,Central Madeirense,leche,0.96
142,Crema De Leche Los Andes 500Gr,$ 4.80,True,24/08/2022,Central Madeirense,leche,4.8
143,Crema De Leche Santa Maria Tina 500Gr,$ 5.53,True,24/08/2022,Central Madeirense,leche,5.53
144,Chocolate Savoy Leche 130Gr,$ 3.17,True,24/08/2022,Central Madeirense,leche,3.17
145,ALFAJORES LA VAQUITA AZUL 170GR D/LECHE,Bs. 12.06,True,24/08/2022,Plan Suarez,leche,1.919862457614977
146,ALIMENTO GATOS WHISKAS 1KG CARNE LECHE,Bs. 59.39,True,24/08/2022,Plan Suarez,leche,9.454447044589841
147,ALIMENTO GATOS WHISKAS 500GR CARNE LECHE,Bs. 32.48,True,24/08/2022,Plan Suarez,leche,5.170574844389257
148,BOMBILLO TIPO VELA 40W DELCA LECHE E27,Bs. 9.78,True,24/08/2022,Plan Suarez,leche,1.5569033860260757
149,CEREAL FLIPS 120GR DULCE DE LECHE,Bs. 10.20,True,24/08/2022,Plan Suarez,leche,1.6237642676345574
150,CEREAL FLIPS 220GR DULCE DE LECHE,Bs. 16.73,True,24/08/2022,Plan Suarez,leche,2.663291784071191
151,CEREAL FLIPS 220GR DULCE DE LECHE COLOMB,Bs. 16.73,True,24/08/2022,Plan Suarez,leche,2.663291784071191
152,CEREAL FLIPS 6 X 28GR DULCE DE LECHE,Bs. 16.70,True,24/08/2022,Plan Suarez,leche,2.6585160068134424
153,CEREAL MEGA BIT 6X38GR DULCE LECHE,Bs. 16.23,True,24/08/2022,Plan Suarez,leche,2.583695496442046
154,CHOCOLATE EN GOTAS LECHE X KG,Bs. 55.68,True,24/08/2022,Plan Suarez,leche,8.863842590381585
155,CHOCOLATE SAVOY 130GR CON LECHE,Bs. 19.02,True,24/08/2022,Plan Suarez,leche,3.0278427814126747
156,CHOCOLATE SAVOY MULTIPACK4X30G LECHE,Bs. 18.22,True,24/08/2022,Plan Suarez,leche,2.900488721206043
157,CHOCOLATE ST MORITZ 100GR LECHE SINAZUCA,Bs. 16.23,True,24/08/2022,Plan Suarez,leche,2.583695496442046
158,CHOCOLATE ST MORITZ 500GR DE LECHE,Bs. 45.23,True,24/08/2022,Plan Suarez,leche,7.200280178932454
159,CHOCOLATE TOBLERONE 100GR LECHE,Bs. 17.63,True,24/08/2022,Plan Suarez,leche,2.8065651018036517
160,CREMA DE LECHE AGUA LINDA 500GR,Bs. 24.49,True,24/08/2022,Plan Suarez,leche,3.8986261680755208
161,CREMA DE LECHE BELLA HOLANDESA 170GR,Bs. 13.32,True,24/08/2022,Plan Suarez,leche,2.120445102440422
162,CREMA DE LECHE BIANCA LIEVE 1LT CON AZUC,Bs. 31.98,True,24/08/2022,Plan Suarez,leche,5.090978556760113
163,CREMA DE LECHE BIANCA LIEVE COCINA 1LT,Bs. 30.71,True,24/08/2022,Plan Suarez,leche,4.888803986182085
164,CREMA DE LECHE DAIRY SKY 170G,Bs. 12.97,True,24/08/2022,Plan Suarez,leche,2.0647277011000207
165,CREMA DE LECHE DI FIORE 170G,Bs. 9.05,True,24/08/2022,Plan Suarez,leche,1.4406928060875241
166,CREMA DE LECHE KALDINI 170GR,Bs. 11.80,True,24/08/2022,Plan Suarez,leche,1.8784723880478216
167,CREMA DE LECHE LA PREFERIDA 400GR,Bs. 24.88,True,24/08/2022,Plan Suarez,leche,3.960711272426254
168,CREMA DE LECHE LOS ANDES 500GR,Bs. 26.94,True,24/08/2022,Plan Suarez,leche,4.288647977458331
169,CREMA DE LECHE NESTLE 300GR,Bs. 13.98,True,24/08/2022,Plan Suarez,leche,2.2255122021108935
170,CREMA DE LECHE PARMALAT 1 LT UHT,Bs. 45.44,True,24/08/2022,Plan Suarez,leche,7.233710619736695
171,CREMA DE LECHE PURISIMA 250GR,Bs. 18.84,True,24/08/2022,Plan Suarez,leche,2.999188117866183
172,CREMA DE LECHE PURISIMA 500GR,Bs. 35.51,True,24/08/2022,Plan Suarez,leche,5.652928347421876
173,CREMA DE LECHE SANTA MARIA 250GR,Bs. 18.93,True,24/08/2022,Plan Suarez,leche,3.0135154496394287
174,CREMA DE LECHE SANTA MARIA 500GR,Bs. 31.37,True,24/08/2022,Plan Suarez,leche,4.993871085852556
175,CREMA DE LECHE TACHIRA 250GR,Bs. 17.90,True,24/08/2022,Plan Suarez,leche,2.84954709712339
176,CREMA DE LECHE TACHIRA 500GR,Bs. 32.49,True,24/08/2022,Plan Suarez,leche,5.172166770141841
177,DULCE DE LECHE NATULAC 380G,Bs. 20.80,True,24/08/2022,Plan Suarez,leche,3.3112055653724313
178,GALLETA RENATA 140G LECHE MIEL Y GRANOLA,Bs. 4.79,True,24/08/2022,Plan Suarez,leche,0.762532435487209
179,GALLETA RENATA 360GR DULCE DE LECHE PACK,Bs. 14.15,True,24/08/2022,Plan Suarez,leche,2.252574939904803
180,GALLETAS FLAQUITO 240GR CHOCOLATE LECHE,Bs. 27.99,True,24/08/2022,Plan Suarez,leche,4.455800181479535
